game_a,text_a,level_id_a,game_b,text_b,level_id_b
dungeon,spiral wall path with bats scattered inside,73,lode_runner,ground bottom ladders left gold diagonal right enemy top center,199
dungeon,central open area with surrounding wall and scattered bat along outer path,69,lode_runner,ground border top left ladder center rope top gold scattered mid enemy right,167
dungeon,spiral wall path with bats scattered inside,73,the_legend_of_zelda,central floor room with two wall pillars and four monsters near center,549
the_legend_of_zelda,central floor with scattered blocks and surrounding wall,366,dungeon,walls form maze paths with bats clustered along bottom and center,295
lode_runner,ground top band ladders left right rope mid gold scattered center left enemy upper left,62,the_legend_of_zelda,central stair surrounded by scattered blocks on open floor within walls,177
super_mario_bros,three separated ground platforms with a large ground block on right,99,dungeon,central cross path with walls and bat clusters top left and top right,146
super_mario_bros,flat ground with central pipe and scattered goomba,262,the_legend_of_zelda,square floor room with central block cross and four corner blocks,245
the_legend_of_zelda,central floor grid with four block clusters and side doors,128,dungeon,spiral path around central wall with bats scattered,272
the_legend_of_zelda,large square floor ring around central block void with outer wall openings,86,super_mario_bros,ground left slope with three goomba and scattered question block breakable block platforms,276
lode_runner,ground top band diggable ground mid band ladders left gold scattered enemies none,232,dungeon,winding path through scattered wall blocks with bats in open areas,475
super_mario_bros,flat ground with pipe right and question blocks above center,165,dungeon,walls form winding paths with bats scattered in open areas,162
the_legend_of_zelda,square floor room with four monsters near corners and doors top bottom,511,lode_runner,ground border diggable ground top right rope mid ladder center gold scattered enemy right,380
lode_runner,ground left and right platforms ladders left center rope top gold center enemy top,416,dungeon,walls form central block with bats scattered and paths around edges,483
dungeon,central open area with wall border and bats along edges and paths,309,lode_runner,ground border diggable ground blocks center ladder left rope top gold scattered enemy right,444
the_legend_of_zelda,square wall ring enclosing empty floor area,494,super_mario_bros,scattered floating breakable block platforms with coins and ground at bottom,112
dungeon,walls form scattered rooms with central path and bats spread throughout,256,the_legend_of_zelda,square floor bordered by wall with central block cluster and right door,47
dungeon,central cross path with scattered wall blocks and bats clustered lower center,450,the_legend_of_zelda,square floor room with four monsters near corners and side doors,418
the_legend_of_zelda,large square floor room enclosed by wall with two doors opposite and two blocks center,158,super_mario_bros,flat ground with scattered cannons and a goomba question block above,383
dungeon,bats clustered along left wall with winding path to right,322,the_legend_of_zelda,floor grid with two symmetric block diamond clusters near center,470
super_mario_bros,staircase ground rising to right with question block and floating ground platforms,495,dungeon,walls form maze paths with bats scattered in open rooms,332
lode_runner,ground platforms left and mid diggable ground slope right ladder top right rope mid gold left,510,dungeon,scattered wall blocks with open path areas and no bat,365
super_mario_bros,ground staircase with pipe left and floating question block platforms,462,the_legend_of_zelda,open floor with scattered blocks and one door on left,135
super_mario_bros,ground forms stepped pyramid with scattered breakable block platforms,157,dungeon,cross shaped wall with bats around and open path edges,227
dungeon,scattered wall blocks with open path and bats dispersed,202,super_mario_bros,staircase ground rising left to right with question block row and goomba on right,337
the_legend_of_zelda,open floor with blocks forming curved diagonal band on right,201,lode_runner,ground platforms left and right diggable ground center pit ladders left and center rope top,60
dungeon,walls form outer square with central cross path and scattered bats,210,the_legend_of_zelda,square floor arena with central block cluster and surrounding wall,83
the_legend_of_zelda,large open floor room surrounded by wall with door on right,95,lode_runner,ground top band diggable ground mid band ladders left gold scattered enemies none,232
dungeon,central path network with scattered bats and surrounding walls,409,super_mario_bros,two elevated ground platforms with goomba on long top platform and coins above right ground stack,117
super_mario_bros,flat ground with right question block row and goomba,222,dungeon,walls form two large blocks with paths between and bats scattered,76
the_legend_of_zelda,square floor room enclosed by wall with central block,353,lode_runner,ground border left bottom right diggable ground clusters top mid rope top ladder right gold scattered,81
the_legend_of_zelda,open floor with four central blocks and bottom door in surrounding wall,56,lode_runner,ground border diggable ground central right rope ladder center gold scattered enemy left center,1
dungeon,walls form central block with bats scattered and paths around edges,483,the_legend_of_zelda,large open floor room enclosed by wall with door at bottom center,551
the_legend_of_zelda,two water pools left and right on open floor with south door,187,dungeon,square spiral wall path with bats scattered inside,220
dungeon,walls form maze with winding paths and scattered bats,223,lode_runner,ground border diggable ground center gold scattered ladders left right rope top enemy right,54
the_legend_of_zelda,spiral wall corridor with waterfloor channel inside,294,lode_runner,ground border diggable ground center platforms ladders top center left rope left gold scattered enemy,147
the_legend_of_zelda,large open floor room with central wall pillar,250,lode_runner,ground bottom ladders right ropes mid gold scattered left enemy top left,490
lode_runner,ground bottom band diggable ground mid blocks ladders left and right ropes none gold scattered,516,the_legend_of_zelda,large open floor with wall border and right side block cluster near door,525
lode_runner,ground bottom band ladders left right ropes top gold mid right enemy top center,104,super_mario_bros,flat ground with scattered goomba and pipe at right,151
the_legend_of_zelda,large central floor square surrounded by wall ring and inner block border,25,dungeon,winding path between wall blocks with bats scattered throughout,441
the_legend_of_zelda,large floor room with four block pillars and two door openings,277,dungeon,walls form central block with right looped path and scattered bats,197
the_legend_of_zelda,central floor room with two wall pillars and four monsters near middle,153,dungeon,bats clustered on left near wall with open path right,530
dungeon,scattered wall blocks with bats and winding paths,359,the_legend_of_zelda,square floor ring with inner wall and central water column,445
dungeon,central cross path with scattered bats and surrounding walls,37,super_mario_bros,ground along bottom with scattered breakable block platforms and coin row near top,472
the_legend_of_zelda,central block cluster with one monster on floor,411,super_mario_bros,ground at bottom with brick ceiling and question block cluster right with coins,352
dungeon,walls form winding path with bats scattered throughout,279,lode_runner,ground bottom band ladders center left right gold top center enemy left mid diggable ground,330
the_legend_of_zelda,square floor arena with central block cluster and surrounding wall,83,lode_runner,ground border maze diggable ground corridors ladders right gold scattered enemy none,19
super_mario_bros,flat ground with left question block row and central cannon and two goomba,540,lode_runner,ground platforms left and right ladder center rope top gold scattered enemy top center,299
super_mario_bros,ground floor with central breakable block platform and coins above,228,the_legend_of_zelda,open floor with scattered blocks and central stair door at bottom,508
lode_runner,ground border diggable ground right block ladders left columns ropes mid gold top left enemy,408,dungeon,winding path around central wall with scattered bat,373
lode_runner,ground bottom ladders left gold diagonal right enemy top center,199,dungeon,central winding path with scattered wall blocks and bats near top corners,396
the_legend_of_zelda,large open floor room surrounded by wall with door on right,95,dungeon,walls form central blocks with bats clustered in lower left and right,257
the_legend_of_zelda,large floor room with two central block clusters aligned vertically,85,dungeon,winding path around central wall with scattered bat,373
the_legend_of_zelda,large central floor room surrounded by wall ring with two side doors and bottom door,377,super_mario_bros,flat ground with scattered goomba and pipe at right,151
the_legend_of_zelda,large square floor room with central block cluster and wall border,556,dungeon,scattered wall blocks with open paths and bats around edges,55
super_mario_bros,stepped ground platform descending right with empty sky,66,dungeon,scattered wall blocks with bats spread across open paths,479
dungeon,walls form scattered blocks with winding paths and bats dispersed,376,lode_runner,ground bottom band diggable ground left and center blocks gold row left enemy right ladder top,542
super_mario_bros,scattered breakable block platforms with goomba on central platform and coins at top left,523,dungeon,scattered wall blocks with bats near bottom and open paths,239
the_legend_of_zelda,square floor bordered by wall with central block cluster,154,dungeon,central path with scattered wall blocks and bats,188
super_mario_bros,ground staircase left goomba on steps tall ground wall right,78,dungeon,maze like wall corridors with bats along central path,357
the_legend_of_zelda,central block column with diagonal blocks on floor inside wall,331,lode_runner,ground bottom band diggable ground central blocks gold scattered mid enemy pink left mid rope top,338
dungeon,walls form three large blocks with narrow paths between them,142,the_legend_of_zelda,square floor room with central blocks and side doors,168
super_mario_bros,ground forms stepped platform left then long flat ground right,120,the_legend_of_zelda,central floor room with two wall pillars and four monsters near middle,153
super_mario_bros,ground forms stepped pyramid with scattered breakable block platforms,157,dungeon,walls form central blocky maze with bats clustered left along paths,499
super_mario_bros,flat ground with two cannons and one goomba,5,lode_runner,ground blocks left and right central ladder gold along ladder enemy top right,314
lode_runner,ground bottom band ladders left and center rope mid gold right enemy top left,131,super_mario_bros,ground platform with tall vertical wall left and two floating breakable block clusters right,497
the_legend_of_zelda,large square floor room enclosed by wall with central stair,255,lode_runner,ground blocks left and right central ladder gold along ladder enemy top right,314
dungeon,bats clustered in central room enclosed by wall with side paths,291,the_legend_of_zelda,large open floor room with two monsters centered vertically,500
dungeon,l shaped wall enclosure with bats scattered in open path,39,lode_runner,ground border maze diggable ground scattered gold mid left enemy left ladder center rope right,293
the_legend_of_zelda,square floor ring with inner wall and central water column,445,dungeon,scattered wall blocks with bats along winding paths,304
dungeon,bats clustered along left wall with winding path to right,322,the_legend_of_zelda,open floor room with two monsters centered,335
dungeon,bats along a diagonal path between walls,229,super_mario_bros,ground with left pipe and right stepped breakable block hill,541
the_legend_of_zelda,central floor room with two wall pillars and four monsters near center,301,super_mario_bros,flat ground with cannon left pipe center goombas on pipe and right,422
super_mario_bros,ground left slope with three goomba and scattered question block breakable block platforms,276,the_legend_of_zelda,spiral waterfloor path inside square wall with central floor corridor,532
the_legend_of_zelda,square floor room with border wall and scattered blocks,448,super_mario_bros,flat ground then rising staircase of breakable block on right with coins above,399
the_legend_of_zelda,central floor room with two wall pillars and four monsters near center,204,dungeon,square spiral wall path with bats scattered inside,220
super_mario_bros,flat ground with scattered breakable block platforms and one question block,182,lode_runner,ground bottom band diggable ground mid blocks ladders left and right ropes none gold scattered,516
dungeon,central path network with scattered bats and surrounding walls,409,super_mario_bros,staircase breakable block pyramid on ground with goomba right,371
lode_runner,ground border diggable ground center ladders left right rope top gold scattered enemy center,11,dungeon,central vertical path between wall blocks with bat clusters right and left,30
dungeon,central open area with surrounding wall blocks and bats along edges and paths,253,lode_runner,ground blocks left and right central ladder gold along ladder enemy top right,314
lode_runner,ground border top left diggable ground scattered ladder center rope top gold,317,dungeon,central wall block with bats around edges and open path ring,457
lode_runner,ground border maze diggable ground scattered gold mid left enemy left ladder center rope right,293,dungeon,walls form grid of blocks with scattered paths and bats,252
the_legend_of_zelda,central wall blob with four monsters on floor and door bottom,430,lode_runner,ground bottom strip ladder left rope center gold top clusters enemy top left,437
dungeon,walls form scattered rooms with central path and bats spread throughout,256,the_legend_of_zelda,large square floor room with central block cluster,121
super_mario_bros,staggered brick platforms with question blocks left and tall brick wall right,173,the_legend_of_zelda,square floor room with central block cluster and top bottom door,381
the_legend_of_zelda,wall border enclosing large central floor area,286,super_mario_bros,pipes on right ground scattered question block and breakable block platforms,467
the_legend_of_zelda,large open floor room enclosed by wall with single door bottom,58,super_mario_bros,ground forms stepped platform left then long flat ground right,120
lode_runner,ground bottom right mound gold scattered ladder left rope top enemy left,63,super_mario_bros,flat ground with three pipes each holding goomba and a right floating breakable block platform,321
lode_runner,ground platforms left and right ladder center rope top gold scattered enemy top center,299,the_legend_of_zelda,square floor room with wall border and two blocks inside,148
lode_runner,ground bottom left ladder right rope top gold mid enemypink person,3,the_legend_of_zelda,central floor with scattered monsters and one block cluster on right,327
the_legend_of_zelda,spiral waterfloor corridor on floor enclosed by wall,98,dungeon,walls form central loop path with bats around it,311
super_mario_bros,flat ground platform with three goomba spaced across,382,the_legend_of_zelda,central floor room with two wall pillars and four monsters near center,487
dungeon,maze of walls with many small paths and scattered bats,402,lode_runner,ground left and right platforms ladders left center rope top gold center enemy top,416
dungeon,bats clustered in central room enclosed by wall with side paths,291,the_legend_of_zelda,central floor room with two wall pillars and four monsters near middle,153
super_mario_bros,flat ground with left question block row and central cannon and two goomba,540,dungeon,scattered wall blocks with winding path and bats throughout,492
super_mario_bros,pipes on right ground scattered question block and breakable block platforms,467,the_legend_of_zelda,central horizontal water strip across floor with door at bottom center,36
dungeon,scattered wall blocks with bats on open paths,254,lode_runner,ground border diggable ground blocks gold scattered mid enemy center ladder left rope top,71
super_mario_bros,flat ground with gap right and two question block above,420,the_legend_of_zelda,square floor room with four water blocks near center and right wall door,374
super_mario_bros,flat ground with three pipes and two goomba on pipes,79,the_legend_of_zelda,large floor room with central water strip and right wall door,346
lode_runner,ground bottom left ladder far left gold scattered mid and top enemy center,512,dungeon,path loop around central wall with bats clustered left and bottom,554
lode_runner,ground platforms left and right diggable ground center pit ladders left and center rope top,60,super_mario_bros,flat ground with tall pipe right and two question block rows left,461
dungeon,square spiral wall path with bats scattered inside,220,the_legend_of_zelda,large open floor room surrounded by wall with two door openings left and right,265
dungeon,central path with two bat pairs between walls,65,the_legend_of_zelda,large open floor room enclosed by wall with door at bottom center,246
dungeon,bats clustered along left wall with winding path to right,322,the_legend_of_zelda,checkerboard floor with four block diamond clusters near center,401
lode_runner,ground border bottom diggable ground platforms scattered ladders vertical center left right gold on platforms,466,the_legend_of_zelda,square floor ring with four inner wall blocks and four corner monsters,458
the_legend_of_zelda,three vertical floor corridors separated by wall blocks,518,lode_runner,ground left and right platforms ladders left center rope top gold center enemy top,416
dungeon,scattered wall blocks with bats along narrow paths,414,the_legend_of_zelda,square floor ring with central block area and monsters in grid,198
lode_runner,ground border diggable ground center ladder right rope none gold scattered enemy left,125,super_mario_bros,ground platform with tall vertical wall left and two floating breakable block clusters right,497
dungeon,winding central path with scattered bats and surrounding wall,522,lode_runner,ground border top right diggable ground left ladder right enemypink person top corners,103
super_mario_bros,flat ground with central pipe and scattered goomba,262,dungeon,two bat clusters separated by open path,509
the_legend_of_zelda,floor ring around central wall void,280,lode_runner,ground platforms top and mid left diggable ground right rope none ladders center gold scattered,447
lode_runner,ground platforms left and right ladder center rope top gold scattered enemy top center,299,super_mario_bros,ground floor with central breakable block platform and coins above,228
super_mario_bros,two elevated ground platforms with goomba on long top platform and coins above right ground stack,117,the_legend_of_zelda,large open floor room enclosed by wall with single door at bottom,119
super_mario_bros,scattered floating breakable block platforms above ground,410,dungeon,central path with scattered wall blocks and bats along top edge,527
lode_runner,ground left mass diggable ground center right gold scattered enemy top left ladder center rope none,240,dungeon,walls form outer square with central cross path and scattered bats,210
super_mario_bros,ground across bottom with goomba left and question block row above,393,the_legend_of_zelda,central floor with two vertical block columns and surrounding wall border,342
dungeon,walls form stepped zigzag path with bats scattered around,358,super_mario_bros,flat ground then rising staircase of breakable block on right with coins above,399
dungeon,scattered wall blocks with open paths and bats around edges,449,the_legend_of_zelda,floor grid with central block cluster and surrounding wall border,455
dungeon,walls form central maze with bats scattered along paths,15,the_legend_of_zelda,large square floor room with central block cluster,121
the_legend_of_zelda,square floor room with four monsters near corners and left door,180,super_mario_bros,ground forms u shaped pit with goombas on top and lone breakable block above,501
the_legend_of_zelda,square floor with scattered blocks and one stair near center,134,super_mario_bros,flat ground with scattered goomba clusters,45
dungeon,walls form winding paths with bats scattered throughout,478,super_mario_bros,ground platform with two separated raised ground blocks,17
dungeon,spiral wall path with bats around edges and one central bat,189,the_legend_of_zelda,square floor room with central block cluster and surrounding wall,456
the_legend_of_zelda,water forms large rectangular ring around central floor corridor,288,dungeon,walls form central blocky maze with bats clustered left along paths,499
dungeon,walls form stepped blocks with open paths around edges and center,138,lode_runner,ground blocks center right platform ladders left and center rope top gold top left enemy none,473
dungeon,bats clustered top left behind wall with winding path corridors,32,the_legend_of_zelda,floor square room with central stair and two side doors,208
dungeon,paths through walls with bat clusters top right and bottom right,389,super_mario_bros,two rows of question block upper left goomba trio on ground right,144
dungeon,bats scattered along winding paths between walls,345,the_legend_of_zelda,open floor room with border wall and two central blocks,477
lode_runner,ground bottom band ladder right edge gold scattered mid enemypink person left mid,271,dungeon,scattered wall blocks with bats across open paths,531
dungeon,grid of wall blocks with scattered bats and narrow paths,176,the_legend_of_zelda,square floor ring with four inner wall blocks and four corner monsters,458
